,image_name,intersection,ratio,width,height
0,M_HS_m3_921_00464,6375,0.38288288288288286,150,111
0,M_HS_m2_822_00929,25884,1.3523510971786834,110,174
0,M_HS_m2_822_01386,17604,0.656865671641791,134,200
0,M_P_m1_723_00524,1782,0.00495,600,600
0,M_HS_m1_712_04407,20544,0.5808476349345472,113,313
0,M_HS_m1_711_05455,4284,0.75,56,102
0,M_HS_e5_514_00305,14796,0.6576,150,150
0,M_HS_m1_711_03364,4464,0.31138392857142855,112,128
0,M_HS_m3_921_02128,21942,0.7277611940298507,150,201
0,M_HS_m3_921_01126,3024,0.2669491525423729,96,118
0,M_HS_h1_1024_01980,3150,0.11413043478260869,150,184
0,M_HS_h2_1125_02813,33453,1.0421495327102803,150,214
0,M_P_m1_712_00008,61476,0.20492,500,600
0,M_HS_e5_513_00369,81636,0.7344669365721997,150,741
0,M_HS_h1_1016_00151,9837,0.7841996173469388,56,224
0,M_HS_m3_921_01167,1197,0.039701492537313435,150,201
0,M_HS_m1_712_04080,16092,0.4852103120759837,99,335
0,M_HA_m1_715_00003,11046,0.04720008546095503,575,407
0,M_HA_m2_821_00093,6975,0.026217664879981357,613,434
0,M_P_m1_721_00560,7725,0.021458333333333333,600,600
0,M_HS_h1_1021_02527,4950,0.3298680527788884,122,123
